Program,Organization,Type,Rating,Difficulty,Students,Students_old
"Energy Production, Distribution & Safety",University at Buffalo,Specialization,4.7,Beginner,37000,37k
Engineering Health: Introduction to Yoga and Physiology,New York University,Course,4.8,Beginner,14000,14k
Engineering Project Management: Initiating and Planning,Rice University,Course,4.7,Beginner,23000,23k
English Composition I,Duke University,Course,4.6,Beginner,200000,200k
English for Business and Entrepreneurship,University of Pennsylvania,Course,4.8,Beginner,230000,230k
English for Career Development,University of Pennsylvania,Course,4.8,Mixed,760000,760k
English for Journalism,University of Pennsylvania,Course,4.8,Mixed,130000,130k
English for Research Publication Purposes,Moscow Institute of Physics and Technology,Specialization,4.6,Intermediate,42000,42k
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,Course,4.8,Beginner,110000,110k
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,Course,4.4,Beginner,2400,2.4k
Entrepreneurial Finance: Strategy and Innovation,Duke University,Specialization,4.5,Intermediate,7900,7.9k
Entrepreneurship,University of Pennsylvania,Specialization,4.8,Beginner,110000,110k
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,Course,4.8,Mixed,86000,86k
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,Course,4.8,Mixed,38000,38k
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,Course,4.7,Beginner,31000,31k
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,Course,4.8,Beginner,20000,20k
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",Specialization,4.6,Beginner,69000,69k
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,Course,4.8,Mixed,45000,45k
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,Course,4.7,Mixed,23000,23k
Epidemiology for Public Health,Imperial College London,Specialization,4.7,Beginner,6400,6.4k
Epidemiology in Public Health Practice,Johns Hopkins University,Specialization,4.7,Beginner,31000,31k
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,Course,4.6,Mixed,130000,130k
Epigenetic Control of Gene Expression,The University of Melbourne,Course,4.8,Mixed,35000,35k
Equine Welfare and Management,"University of California, Davis",Course,4.8,Beginner,7200,7.2k
Esports,"University of California, Irvine",Specialization,4.5,Beginner,1800,1.8k
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,Course,4.7,Beginner,14000,14k
Essential Google Cloud Infrastructure: Core Services,Google Cloud,Course,4.7,Intermediate,68000,68k
Essential Google Cloud Infrastructure: Foundation,Google Cloud,Course,4.7,Intermediate,83000,83k
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,Course,4.8,Intermediate,4100,4.1k
Essentials of Corporate Finance,The University of Melbourne,Specialization,4.6,Intermediate,54000,54k
Essentials of Global Health,Yale University,Course,4.8,Mixed,31000,31k
Estadística y probabilidad,Universidad Nacional Autónoma de México,Course,4.7,Beginner,27000,27k
Evaluación educativa,Universidad Nacional Autónoma de México,Specialization,4.8,Beginner,13000,13k
"Everyday Excel, Part 1",University of Colorado Boulder,Course,4.8,Beginner,11000,11k
Everyday Parenting: The ABCs of Child Rearing,Yale University,Course,4.9,Beginner,86000,86k
Excel Skills for Business,Macquarie University,Specialization,4.9,Beginner,240000,240k
Excel Skills for Business: Advanced,Macquarie University,Course,4.7,Intermediate,39000,39k
Excel Skills for Business: Essentials,Macquarie University,Course,4.9,Beginner,200000,200k
Excel Skills for Business: Intermediate I,Macquarie University,Course,4.9,Intermediate,76000,76k
Excel Skills for Business: Intermediate II,Macquarie University,Course,4.8,Intermediate,39000,39k
Excel to MySQL: Analytic Techniques for Business,Duke University,Specialization,4.6,Beginner,490000,490k
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,Specialization,4.8,Beginner,56000,56k
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,Course,4.8,Beginner,54000,54k
Executive Data Science,Johns Hopkins University,Specialization,4.5,Beginner,170000,170k
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,Course,4.8,Beginner,28000,28k
Fashion as Design,The Museum of Modern Art,Course,4.8,Beginner,180000,180k
Feminism and Social Justice,"University of California, Santa Cruz",Course,4.8,Beginner,18000,18k
FinTech Law and Policy,Duke University,Course,4.8,Beginner,9700,9.7k
